semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,,
185,Av. Gal. San Martin,Rua Próx. Clotilde de Oliveira,CORDEIRO,-8.052688,-34.922385,E,Ocasional/Ped.,1,
186,Av. Beberibe,Rua Coragem,ENCRUZILHADA,-8.036111,-34.891244,E/Git,Veicular,1,
187,Av. Beberibe,Rua da Regeneração,ÁGUA FRIA,-8.018510,-34.893277,E,Veicular,1,
188,Av. Santos Dumont,Rua do Futuro,ROSARINHO,-8.040902,-34.900096,E/Git,Veicular,1,
189,Rua Dom Manuel de Medeiros,Em frente ao LAFEPE,DOIS IRMÃOS,-8.015859,-34.943677,E,Ocasional/Ped.,1,
190,Av. Boa Viagem,Rua Frei Leandro Camelo,BOA VIAGEM,-8.146655,-34.905891,E/Git,Ocasional/Ped.,1,
191,Rua José Bonifácio,Rua Conde de Irajá,TORRE,-8.046004,-34.907050,E/Git,Veicular,1,
192,Rua Real da Torre,Rua D. Manoel da Costa,TORRE,-8.047506,-34.909150,E/Git,Veicular,1,
193,Rua José Bonifácio,Rua Padre Anchieta,TORRE,-8.047199,-34.906653,E/Git,Veicular,1,
194,Av. Martins de Barros,Rua 1º de Março,SANTO ANTÔNIO,-8.064105,-34.876370,E/Git,Veicular,1,
195,Rua Amélia,Rua do Espinheiro,ESPINHEIRO,-8.045830,-34.895350,E/Git,Veicular,1,
196,Av. Alfredo Lisboa,Rua Vital de Oliveira,BAIRRO DO RECIFE,-8.060650,-34.870390,E,Ocasional/Ped.,1,
197,Rua do Sol,Em frente ao Liceu de Artes de PE,SANTO ANTÔNIO,-8.061107,-34.879324,E,Ocasional/Ped.,1,
198,Av. João de Barros,Rua Leopoldo Lins ,SANTO AMARO,-8.049710,-34.890010,E,Veicular,1,
199,Rua de São João,Rua do Forte,SÃO JOSÉ,-8.071082,-34.880603,E,Ocasional/Ped.,1,
200,Av. Domingos Ferreira,Rua Thomé Gibson,BOA VIAGEM,-8.098758,-34.886600,E/Git,Veicular,1,
201,Estrada de Belém,Rua Antônio Rangel,CAMPO GRANDE,-8.035682,-34.888540,E,Veicular,1,
202,Av. Cruz Cabugá,Rua Dna. Maria de Souza,SANTO AMARO,-8.040833,-34.872134,E/Git,Veic.C/Ped.Ocas.,1,
203,Av. Nossa Senhora do Carmo,Rua do Imperador,SANTO ANTÔNIO,-8.066141,-34.876680,E/Git,Veic.C/Ped.Ocas.,1,
204,Av. Nossa Senhora do Carmo,Av. Martins de Barros,SANTO ANTÔNIO,-8.066107,-34.876245,E/Git,Veicular,1,
205,Av. Sul(Pista principal),Antes do Viaduto Joana Bezerra,AFOGADOS,-8.076770,-34.894820,E/Git,Ocasional/Ped.,1,
206,Rua do Imperador,Rua Siqueira Campos,SANTO ANTÔNIO,-8.062875,-34.876975,E/Git,Veicular,1,
207,Rua Imperial ,Rua do Peixoto,SÃO JOSÉ,-8.071997,-34.882352,E/Git,Veicular,1,
208,Av. Dr. José Rufino,Rua Itaenga,TEJIPIÓ,-8.090837,-34.951214,E,Veic.C/Ped.Ocas.,1,
209,Rua Dr. José Mariano,Rua Velha,SANTO ANTÔNIO,-8.064781,-34.885037,E,Veicular,1,
210,Rua da Aurora,Rua da Imperatriz,SANTO ANTÔNIO,-8.063454,-34.882531,E/Git,Pedestre,1,
211,Av. Sul(corredor de ônibus),Antes do Viaduto Joana Bezerra,AFOGADOS,-8.076928,-34.894710,E/Git,Ocasional/Ped.,1,
212,Av. Recife,Av. Presidente Kennedy,AREIAS,-8.103319,-34.927649,E/Git,Veic.C/Ped.Ocas.,1,
213,Av. Dr. José Rufino,Rua Domingos Teotônio,BARRO,-8.092925,-34.941609,E,Ocasional/Ped.,1,
214,Av. Conselheiro Rosa e Silva,Av. Dr. Malaquias,ROSARINHO,-8.038142,-34.900583,E/Git,Veicular,1,
215,Rua do Futuro,Av. Dr. Malaquias,ROSARINHO,-8.038757,-34.901782,E/Git,Veicular,1,
216,Av. Domingos Ferreira,Rua Padre Carapuceiro,BOA VIAGEM,-8.119076,-34.897531,E/Git,Veicular,1,
217,Av. Domingos Ferreira,Rua Ernesto de Paula Santos,BOA VIAGEM,-8.124700,-34.900211,E/Git,Veicular,1,
218,Av. Mascarenhas de Morais,Rua Barão de Souza Leão,IMBIRIBEIRA,-8.132591,-34.916230,E,Ocasional/Ped.,1,
219,Rua Odete Monteiro,Em frente a Escola Munic. Darcy Ribeiro,CORDEIRO,-8.045980,-34.920842,E,Ocasional/Ped.,1,
220,Av. Manoel Borba,Rua da Soledade,BOA VISTA,-8.059565,-34.890071,E/Git,Veicular,1,
221,Rua Gervásio Pires,Rua Barão de São Borja,GRAÇAS,-8.041944,-34.902881,E/Git,Veicular,1,
222,Rua da Soledade,Rua Oliveira Lima,BOA VISTA,-8.056245,-34.889896,E/Git,Veicular,1,
223,Rua Padre Roma,Rua do Futuro,TAMARINEIRA,-8.033814,-34.905615,E/Git,Veic.C/Ped.,1,
224,Rua Dom Manoel de Medeiros,Em frente a entrada da UFRPE,DOIS IRMÃOS,-8.016905,-34.951408,E,Ocasional/Ped.,1,
225,Av. Mascarenhas de Morais,Av. General Mac. Arthur,IMBIRIBEIRA,-8.108870,-34.911830,E/Git,Veic.C/Ped.,1,
226,Av. Antônio de Góis,Av. Cons. Aguiar,PINA,-8.089550,-34.882736,E/Git,Veicular,1,
227,Rua Antônio Falcão,Rua Francisco da Cunha,BOA VIAGEM,-8.115157,-34.896684,E/Git,Veicular,1,
228,Av. Caxangá,Est BRT Engenho Poeta (Sub/Cid),BRASILIT,-8.034520,-34.950005,E/Git,Ocasional/Ped.,1,
229,Av. Caxangá,Rua São Mateus,IPUTINGA,-8.041579,-34.937045,E/Git,Veicular,1,
230,Av. Caxangá,Rua Prof. Chaves Batista,IPUTINGA,-8.037541,-34.944343,E/Git,Veicular,1,
231,Av. Caxangá,Rua General Polidoro,IPUTINGA,-8.036979,-34.945456,E/Git,Veicular,1,
232,Av. Caxangá,Rua Rodrigues Ferreira,VÁRZEA,-8.032096,-34.954246,E/Git,Veicular,1,
233,Rua Carlos Gomes,Estrada do Bongi,PRADO,-8.066040,-34.914151,E/Git,Veicular,1,
234,Av. Caxangá,Rua Inácio Monteiro,CORDEIRO,-8.045539,-34.929875,E/Git,Veicular,1,
235,Av. Caxangá,Rua Cláudio Brotherhood,CORDEIRO,-8.046690,-34.927890,E/Git,Veicular,1,
236,Av. Caxangá,Rua Gregório Jr.,CORDEIRO,-8.051658,-34.918898,E/Git,Veicular,1,
237,Rua Real da Torre,Em frente ao Colégio Joaquim Távora,MADALENA,-8.055776,-34.909047,E/Git,Ocasional/Ped.,1,
238,Av. Beberibe,Rua Frederico,ENCRUZILHADA,-8.034461,-34.891581,E/Git,Veicular,1,
239,Rua São Mateus,Av. Maurício de Nassau,IPUTINGA,-8.036687,-34.935337,E,Veic.C/Ped.Ocas.,1,
240,Av. Cons. Aguiar,Rua Frei Leandro,BOA VIAGEM,-8.102537,-34.887433,E/Git,Ocasional/Ped.,1,
241,Av. Cons. Aguiar,Rua Des. João Paes,BOA VIAGEM,-8.126841,-34.899838,E/Git,Ocasional/Ped.,1,
242,Estrada dos Remédios,Rua Nicolau Pereira,AFOGADOS,-8.075989,-34.907286,E,Veicular,1,
243,Av. Norte Miguel Arraes de Alencar,Rua da Aurora(Ponte Limoeiro),SANTO AMARO,-8.049989,-34.873799,E/Git,Veicular,1,
244,Av. Visconde de Suassuna,Rua Gervásio Pires,SANTO AMARO,-8.054486,-34.883273,E/Git,Veicular,1,
245,Rua 21 de Abril,Av. Manoel Gonçalves da Luz,MUSTARDINHA,-8.075102,-34.918391,E,Veic.C/Ped.,1,
246,Estrada do Barbalho,Av. Maurício de Nassau,IPUTINGA,-8.035471,-34.939850,E,Veic.C/Ped.Ocas.,1,
247,Av. Recife,Rua Raimundo Diniz,IPSEP,-8.116248,-34.923724,E/Git,Veicular,1,
248,Av. Dois Irmãos,Em frente à Fundação Joaquim Nabuco,APIPUCOS,-8.020731,-34.935794,E,Ocasional/Ped.,1,
249,Av. do Forte,Rua Gomes Taborda,CORDEIRO,-8.053507,-34.928933,E,Veic.C/Ped.,1,
250,Av. João Cabral de Melo Neto,Rua Tenente Mindelo,SAN MARTIN,-8.075063,-34.930292,E/Git,Ocasional/Ped.,,
251,Av. 17 de Agosto,Rua Piaui,MONTEIRO,-8.029358,-34.925824,E,Ocasional/Ped.,1,
252,Rua Dom Manoel da Costa,Rua Padre Landim,TORRE,-8.047935,-34.912448,E,Ocasional/Ped.,1,
253,Av. Cons. Rosa e Silva,Rua Dr. José Maria,TAMARINEIRA,-8.034683,-34.902533,E/Git,Veicular,1,
254,Rua do Bom Pastor,Rua Comendador A. de Carvalho,ENGENHO DO MEIO,-8.041855,-34.938849,E,Veicular,1,
255,Cais da Alfândega,Em frente ao Shopping,MADALENA,-8.050040,-34.908300,E,Ocasional/Ped.,1,
256,Av. Norte Miguel Arraes de Alencar,Em frente a Mat. Barros Lima,CASA AMARELA,-8.020638,-34.923509,E/Git,Ocasional/Ped.,1,
257,Rua Benfica,Rua Real da Torre,MADALENA,-8.057092,-34.909243,E/Git,Ocasional/Ped.,1,
258,Av. Visconde de Jequitinhonha,Av Armindo Moura,BOA VIAGEM,-8.150556,-34.909229,E/Git,Veicular,1,
259,Av. Recife,Rua Senador Alberto Pasqualine,ESTÂNCIA,-8.079617,-34.933912,E/Git,Veicular,1,
260,Av. Sul,Rua Nova da Cabanga,CABANGA,-8.077861,-34.897881,E/Git,Veicular,1,
261,Av. Recife,Rua Nossa Senhora de Fátima,ESTÂNCIA,-8.082634,-34.932978,E/Git,Veic.C/Ped.Ocas.,1,
262,Av. Caxangá,Praça do Caxangá,VÁRZEA,-8.031780,-34.954910,E/Git,Veicular,1,
263,Av. Caxangá,Estação BRT Túnel da Abolição (Cid/Sub),MADALENA,-8.056430,-34.910090,E/Git,Ocasional/Ped.,1,
264,Av. Caxangá,Estação BRT Túnel da Abolição (Sub/Cid),MADALENA,-8.056584,-34.910117,E/Git,Ocasional/Ped.,1,
265,Av. Caxangá,Estação BRT Getulio Vargas (Cid/Sub),CORDEIRO,-8.050146,-34.921422,E/Git,Ocasional/Ped.,1,
266,Av. Caxangá,Estação BRT Getulio Vargas (Sub/Cid),CORDEIRO,-8.050299,-34.921551,E/Git,Pedestre,1,
267,Av. Caxangá,Estação BRT Forte do Arraial (Cid/Sub),CORDEIRO,-8.048130,-34.925055,E/Git,Ocasional/Ped.,1,
268,Av. Caxangá,Estação BRT Forte do Arraial (Sub/Cid),CORDEIRO,-8.048288,-34.925162,E/Git,Ocasional/Ped.,1,
269,Av. Caxangá,Estação BRT  BR 101 (Cid/Sub),IPUTINGA,-8.038388,-34.942657,E/Git,Ocasional/Ped.,1,
270,Av. Caxangá,Estação BRT  BR 101 (Sub/Cid),IPUTINGA,-8.038523,-34.942786,E/Git,Ocasional/Ped.,1,
271,Av. Abdias de Carvalho,Próximo a UPA - Torrões (Cid/Sub),TORRÕES,-8.063964,-34.935793,E/Git,Ocasional/Ped.,1,
272,Av. Abdias de Carvalho,Próximo a UPA - Torrões (Sub/Cid),TORRÕES,-8.064074,-34.935713,E/Git,Ocasional/Ped.,1,
273,Av. Caxangá,Estação BRT - Zumbi (Cid/Sub),ZUMBI,-8.053311,-34.915731,E/Git,Ocasional/Ped.,1,
274,Av. Caxangá,Estação BRT - Zumbi (Sub/Cid),ZUMBI,-8.053461,-34.915814,E/Git,Ocasional/Ped.,1,
275,Av. Caxangá,Estação BRT Parque do Cordeiro (Cid/Sub),CORDEIRO,-8.046260,-34.928452,E/Git,Ocasional/Ped.,1,
276,Av. Mascarenhas de Morais,Em frente a UPA da Imbiribeira CID/SUB,IMBIRIBEIRA,-8.120813,-34.914266,E/Git,Ocasional/Ped.,1,
277,Av. Antônio de Góis,Rua Miranda Falcão,PINA,-8.087743,-34.884504,E/Git,Pedestre,1,
278,Pça. da República,Rua do Imperador,SANTO ANTÔNIO,-8.061501,-34.877182,E,Ocasional/Ped.,1,
279,Av. Mascarenhas de Morais,Rua Álvaro Amorim,IMBIRIBEIRA,-8.086972,-34.907580,E/Git,Veic.C/Ped.Paral.,1,
280,Rua Tomás Gonzaga,Rua Profº.Estevão Fran. da Costa,CORDEIRO,-8.048433,-34.919173,E/Git,Veicular,1,
281,Av. Joaquim Ribeiro,Rua Ribeiro Pessoa,CAXANGÁ,-8.030013,-34.958002,E/Git,Veicular,1,
282,Rua Jerônimo Vilela,Rua Franklin Távora,CAMPO GRANDE,-8.028109,-34.882152,E,Veicular,1,
283,Estrada do Arraial,Rua Paula Batista,CASA AMARELA,-8.026721,-34.916176,E/Git,Veicular,1,
284,Av. Nossa Senhora do Carmo,Av. Dantas Barreto,SANTO ANTÔNIO,-8.065891,-34.879036,E/Git,Veic.C/Ped.,1,
285,Rua Falcão de Lacerda,Rua 15 de Novembro,TEJIPIÓ,-8.092065,-34.961480,E,Veicular,1,
286,Av. Mascarenhas de Morais,Rua Arquiteto Fernando Almeida,IMBIRIBEIRA,-8.088045,-34.907803,E/Git,Veicular,1,
287,Av. Mascarenhas de Morais,Rua Missionário Joel Carlson,IMBIRIBEIRA,-8.096481,-34.909728,E/Git,Veic.C/Ped.Ocas.,1,
288,Av. Mascarenhas de Morais,Rua Engº.Alves de Souza,IMBIRIBEIRA,-8.098453,-34.910102,E/Git,Veicular,1,
289,Av. Mascarenhas de Morais,Rua Dr. Tavares Correia,IMBIRIBEIRA,-8.115595,-34.913309,E/Git,Veic.C/Ped.Ocas.,1,
290,Av. Mascarenhas de Morais,Rua Jornalista Cleóphas de Oliveira,IMBIRIBEIRA,-8.116233,-34.913346,E/Git,Veicular,1,
291,Estrada do Arraial,Em frente ao Colégio Dom Bosco,CASA AMARELA,-8.028431,-34.910696,E/Git,Ocasional/Ped.,1,
292,Av. Rui Barbosa,Av. Dr. Malaquias,GRAÇAS,-8.039897,-34.904022,E/Git,Veicular,1,
293,Rua Pintor Antônio Albuquerque,Rua Hélio Brandão,VILA DO IPSEP,-8.107744,-34.925727,E/Git,Veicular,,
294,Rua Dom Bosco,Rua Henrique Dias,BOA VISTA,-8.058036,-34.894590,E/Git,Veicular,1,
295,Estrada do Arraial,Rua Desemb. Góis Cavalcante,TAMARINEIRA,-8.030112,-34.907056,E/Git,Ocasional/Ped.,1,
296,Av. Norte Miguel Arraes de Alencar,Rua Maria Candida,MACAXEIRA,-8.012567,-34.931804,E/Git,Veicular,1,
297,Av. Domingos Ferreira,Gilson M. Guimarães (antigo SUPERBOX),BOA VIAGEM,-8.105434,-34.889648,E/Git,Veic.C/Ped.Paral.,1,
298,Rua Ribeiro de Brito,Rua Visconde de Jequitinhonha,BOA VIAGEM,-8.122987,-34.903879,E/Git,Veicular,1,
299,Av. Conde da Boa Vista,Rua Osvaldo Cruz,BOA VISTA,-8.056664,-34.892671,E/Git,Veicular,1,
300,Rua São Miguel,Em frente à Esc. Amauri Medeiros,AFOGADOS,-8.080315,-34.908269,E/Git,Ocasional/Ped.,1,
301,Rua José Bonifácio,Rua Vitoriano Palhares,TORRE,-8.043492,-34.907912,E/Git,Veicular,1,
302,Rua Imperial,Em frente à Escola Joaquim Nabuco,SÃO JOSÉ,-8.074865,-34.891146,E/Git,Ocasional/Ped.,1,
303,Av. Domingos Ferreira,Rua Adeth Leite,BOA VIAGEM,-8.101935,-34.888044,E/Git,Veicular,1,
304,Rua Ernesto de Paula Santos,Rua Visconde de Jequitinhonha,BOA VIAGEM,-8.124081,-34.903819,E/Git,Veicular,1,
305,Av. Rui Barbosa,Rua Senador Alberto Paiva,GRAÇAS,-8.043981,-34.902188,E/Git,Veicular,1,
306,Estrada Velha de Água Fria,Rua Prof. José dos Anjos,ARRUDA,-8.026749,-34.897962,E,Veicular,1,
307,Av. Beberibe,Rua Cel. Urbano de Sena,ARRUDA,-8.015017,-34.890140,E,Veic.C/Ped.Ocas.,1,
308,Rua João Lira,Rua da Saudade,BOA VISTA,-8.056601,-34.879851,E/Git,Veicular,1,
309,Av. Conselheiro Rosa e Silva,Em frente ao Hospital do IPSEP,GRAÇAS,-8.048070,-34.896830,E/Git,Ocasional/Ped.,1,
310,Av. Mascarenhas de Morais,Em frente a UPA da Imbiribeira SUB/CID,IMBIRIBEIRA,-8.120907,-34.914121,E/Git,Veic.C/Ped.Ocas.,1,
311,Av. Sul,Praça Sérgio Loreto,SÃO JOSÉ,-8.073372,-34.885191,E/Git,Veicular,1,
312,Av. Norte Miguel Arraes de Alencar,Rua da Harmonia,CASA AMARELA,-8.023829,-34.912528,E/Git,Veicular,1,
313,Rua 21 de Abril,Em frente à Escola Antônio Farias,AFOGADOS,-8.072345,-34.925366,E,Ocasional/Ped.,1,
314,Av. Beberibe,Rua Expedicionário Inácio Gomes,BEBERIBE,-8.004794,-34.893625,E,Ocasional/Ped.,1,
315,Rua São Nicolau,Rua Abdias Cabral de Moura,IBURA,-8.107121,-34.928250,E/Git,Veicular,,
316,Av. Masc. de Morais,Ao lado Semáforo Nº 279,IMBIRIBEIRA,-8.087051,-34.907504,E/Git,Ocasional/Ped.,1,
317,Rua Souza Bandeira,Rua Marquês de Maricá,TORRE,-8.047588,-34.917384,E/Git,Veic.C/Ped.,1,
318,Av. Cons. Aguiar,Rua Cel. Sérgio Cardim,BOA VIAGEM,-8.130807,-34.901285,E/Git,Veicular,1,
319,Av. Recife,Av. Senador Robert Kennedy,VILA DA SUDENE,-8.119429,-34.920891,E/Git,Veicular,1,
320,Av. Sul,Ponte dos Afogados,AFOGADOS,-8.079511,-34.902473,E/Git,Veicular,1,
321,Rua Padre Carapuceiro,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.117528,-34.900801,E/Git,Veicular,1,
322,Rua Dez de Julho,Em frente a Estação Metrô Aeroporto,IMBIRIBEIRA,-8.134524,-34.914772,E/Git,Ocasional/Ped.,1,
323,Av. Dois Rios,Próx. a Rua Fernando Tomaz da Silva,IBURA,-8.116596,-34.941130,E/Git,Veic.C/Ped.Ocas.,1,
324,Av. Domingos Ferreira,Rua Antônio Pedro Figueiredo,BOA VIAGEM,-8.099950,-34.887130,E/Git,Veicular,1,
325,Av. Dois Rios,Próx. a Rua Rio Pajeú,IBURA,-8.113534,-34.938989,E/Git,Ocasional/Ped.,1,
326,Av. Gal. San Martin,Rua Delmiro Gouveia,BONGI,-8.065287,-34.927227,E/Git,Veic.C/Ped.,1,
327,Av. Abdias de Carvalho,Em frente a Estácio - Sub/Cid.,PRADO,-8.062513,-34.917033,E,Ocasional/Ped.,1,
328,Av. Abdias de Carvalho,Em frente à FIR - Cid/Sub.,PRADO,-8.062363,-34.917038,E,Ocasional/Ped.,1,
329,Rua Ernesto de Paula Santos,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.124460,-34.901516,E/Git,Veicular,1,
330,Rua Ernesto de Paula Santos,Rua Ten. Domingos de Brito,BOA VIAGEM,-8.124127,-34.905228,E/Git,Veicular,1,
331,Rua Ribeiro de Brito,Rua Ten. Domingos de Brito,BOA VIAGEM,-8.122961,-34.905213,E/Git,Veicular,1,
332,Rua Ribeiro de Brito,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.123331,-34.901447,E/Git,Veicular,1,
333,Rua São Miguel,Rua Santos Araújo,AFOGADOS,-8.080316,-34.909456,E/Git,Veicular,1,
334,Rua 21 de Abril,Rua Cosme Viana,AFOGADOS,-8.076993,-34.909194,E/Git,Veic.C/Ped.,1,
335,Av. Fernando Simões Barbosa,Rua Bruno Veloso,BOA VIAGEM,-8.121371,-34.901309,E/Git,Veicular,1,
336,Av. Recife,Em frente ao Hospital Geral de Areias,CAÇOTE,-8.100611,-34.928171,E/Git,Ocasional/Ped.,1,
337,Av. Recife,Em frente ao antigo BOMPREÇO,IPSEP,-8.112517,-34.926508,E/Git,Ocasional/Ped.,1,
338,Av. Domingos Ferreira,Rua Bruno Veloso,BOA VIAGEM,-8.121631,-34.899050,E/Git,Veicular,1,
339,Av. João de Barros,Próximo a Rua Marquês do Paraná,ESPINHEIRO,-8.042850,-34.890702,E/Git,Ocasional/Ped.,1,
340,Cais do Apolo,Em frente à Prefeitura do Recife,BAIRRO DO RECIFE,-8.054344,-34.871957,E/Git,Ocasional/Ped.,1,
341,Rua Jerônimo Vilela,Rua Marquês de Baiapendi,CAMPO GRANDE,-8.025460,-34.882737,E,Veic.C/Ped.Ocas.,1,
342,Rua Cônego Barata,Em frente a APAE,TAMARINEIRA,-8.032080,-34.902660,E/Git,Ocasional/Ped.,1,
343,Av. Cruz Cabugá,Av. Jaime da Fonte,SANTO AMARO,-8.044646,-34.874888,E/Git,Veicular,1,
344,Av. Cruz Cabugá,Beco do Tramways,SANTO AMARO,-8.043294,-34.873933,E/Git,Veicular,1,
345,Av. 17 de Agosto,Rua Lemos Torres,CASA FORTE,-8.036480,-34.913910,E/Git,Veic.C/Ped.Ocas.,1,
346,Av. 17 de Agosto,Rua Leonardo Cavalcanti,CASA FORTE,-8.037138,-34.914591,E/Git,Veicular,1,
347,Rua Cônego Barata,Em frente ao Hospital Ulisses Pernambucano,TAMARINEIRA,-8.032199,-34.902509,E/Git,Ocasional/Ped.,1,
348,Rua Carlos Gomes,Rua Gomes Taborda,PRADO,-8.059004,-34.911957,E/Git,Veicular,1,
349,Av. Gov. Agamenon Magalhães,Em frente ao Real Hosp. Português (Principal),PAISSANDU,-8.063700,-34.897595,E/Git,Ocasional/Ped.,1,
350,Av. Gov. Agamenon Magalhães,Em frente ao Real Hosp. Português (local),PAISSANDU,-8.063725,-34.897695,E/Git,Ocasional/Ped.,1,
351,Av. Dois Rios,Rua Rio Xingú,DOIS RIOS,-8.117766,-34.941927,E/Git,Veicular,1,
352,Rua Imperial,Rua Cabo Eutrópio,CABANGA,-8.077527,-34.899322,E,Veic.C/Ped.Paral.,1,
353,Rua José Gonçalves de Medeiros,Estrada dos Remédios,BENFICA,-8.058948,-34.907222,E/Git,Veicular,1,
354,Av. Abdias de Carvalho,Rua Santa Edwirgens,PRADO,-8.062577,-34.911677,E/Git,Veicular,1,
355,Av. Abdias de Carvalho,Rua Tabaiares(Girador do Sport),ILHA DO RETIRO,-8.061118,-34.904854,E/Git,Veicular,1,
356,Av. João de Barros,Av. Visconde de Suassuna,BOA VISTA,-8.050213,-34.889948,E,Veicular,1,
357,Rua Odorico Mendes,Rua Prof. Francisco Trindade,CAMPO GRANDE,-8.035389,-34.880524,E,Veicular,1,
358,Praça Parnamirim,Estrada do Encanamento,CASA FORTE,-8.033040,-34.910404,E/Git,Veicular,1,
359,Rua dos Coelhos,Em frente ao IMIP,COELHOS,-8.066612,-34.889726,E,Ocasional/Ped.,1,
360,Rua Alberto Paiva,Rua Antônio Novaes,GRAÇAS,-8.043870,-34.900388,E/Git,Veicular,1,
361,Rua da Hora ,Rua Amélia(J. L. Silveira),ESPINHEIRO,-8.046217,-34.894335,E/Git,Veicular,1,
362,Rua Regueira Costa,Rua Dr. José Maria,ROSARINHO,-8.035400,-34.898450,E/Git,Veicular,1,
